hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6860026,6860002,33.4112,-111.687,32.517,-110.888
6860469,6860002,33.3807,-112.167,32.517,-110.888
6860029,6860002,33.5322,-112.099,32.517,-110.888
6860437,6860002,33.4356,-112.081,32.517,-110.888
6860369,6860002,31.9186,-111.89,32.517,-110.888
6860013,6860002,33.6092,-112.18,32.517,-110.888
6860484,6860002,33.4645,-112.286,32.517,-110.888
6860256,6860002,33.502277,-112.16901,32.517,-110.888
6860370,6860002,33.2954,-110.418,32.517,-110.888
6860373,6860002,34.2028,-110.018,32.517,-110.888
6860255,6860002,33.4577,-112.026,32.517,-110.888
6860479,6860002,31.8066,-111.01,32.517,-110.888
6860220,6860002,34.1465,-114.299,32.517,-110.888
6860018,6860002,32.2256,-110.859,32.517,-110.888
6860390,6860002,33.412369,-111.94008,32.517,-110.888
6860387,6860002,33.3802,-111.71,32.517,-110.888
6860305,6860002,33.6551,-112.202,32.517,-110.888
6860233,6860002,33.5808,-112.189,32.517,-110.888
6860017,6860002,32.256,-110.883,32.517,-110.888
6869157,6860002,33.6394,-112.341,32.517,-110.888
6860225,6860002,34.2317,-111.321,32.517,-110.888
6860405,6860002,32.231,-110.838,32.517,-110.888
6860021,6860002,35.2088,-111.644,32.517,-110.888
6860054,6860002,33.6708,-111.922,32.517,-110.888
6860019,6860002,33.6589,-111.956,32.517,-110.888
6860232,6860002,33.5241,-112.102,32.517,-110.888
6860242,6860002,33.480193,-112.03903,32.517,-110.888
6860182,6860002,35.2209,-113.9915,32.517,-110.888
6860003,6860002,33.33506,-111.84642,32.517,-110.888
6860215,6860002,36.9175,-111.464,32.517,-110.888
6860253,6860002,33.5689,-112.071,32.517,-110.888
6869155,6860002,33.3642,-111.939,32.517,-110.888
6860180,6860002,33.4061,-110.827,32.517,-110.888
6869151,6860002,33.4566,-111.997,32.517,-110.888
6860262,6860002,33.454,-112.364,32.517,-110.888
6860023,6860002,32.294152,-110.9708,32.517,-110.888
6860016,6860002,33.3902,-111.877,32.517,-110.888
6860185,6860002,33.4113,-111.688,32.517,-110.888
6860570,6860002,35.0358,-110.692,32.517,-110.888
6860009,6860002,33.6077,-112.204,32.517,-110.888
6869152,6860002,35.2068,-111.607,32.517,-110.888
6860250,6860002,33.4649,-112.058,32.517,-110.888
6860150,6860002,35.2203,-114.037,32.517,-110.888
6864010,6860002,32.3203,-111.01,32.517,-110.888
6860246,6860002,33.4515,-112.043,32.517,-110.888
6860048,6860002,33.495,-111.9223,32.517,-110.888
6860235,6860002,36.1578,-109.583,32.517,-110.888
6860575,6860002,33.4928,-112.072,32.517,-110.888
6860562,6860002,32.2652,-109.838,32.517,-110.888
6860210,6860002,33.4793,-112.04,32.517,-110.888
6860445,6860002,32.2561,-110.876,32.517,-110.888
6860355,6860002,33.4829,-111.919,32.517,-110.888
6860560,6860002,33.9783,-112.74,32.517,-110.888
6860234,6860002,33.511448,-112.00778,32.517,-110.888
6864000,6860002,31.4178,-109.883,32.517,-110.888
6860450,6860002,32.1779,-110.93,32.517,-110.888
6860502,6860002,32.2397,-110.85778,32.517,-110.888
6860024,6860002,33.3803,-111.735,32.517,-110.888
6860486,6860002,33.6779,-112.114,32.517,-110.888
6860008,6860002,33.4808,-111.991,32.517,-110.888
6860039,6860002,33.433045,-111.8399,32.517,-110.888
6860042,6860002,33.292,-111.6865,32.517,-110.888
6860051,6860002,33.287,-111.752,32.517,-110.888
6860520,6860002,32.1813,-110.966,32.517,-110.888
6860038,6860002,33.3348,-111.891,32.517,-110.888
6860027,6860002,33.4626,-112.352,32.517,-110.888
6860325,6860002,33.6657,-112.116,32.517,-110.888
6860290,6860002,33.4515,-112.043,32.517,-110.888
6860001,6860002,33.5833,-111.873,32.517,-110.888
6860550,6860002,33.8759,-109.958,32.517,-110.888
6860395,6860002,33.5801,-111.885,32.517,-110.888
6860047,6860002,33.3916,-111.611,32.517,-110.888
6860454,6860002,33.6437,-111.898,32.517,-110.888
6860315,6860002,33.6394,-111.997,32.517,-110.888
6860034,6860002,33.4254,-111.821,32.517,-110.888
6860280,6860002,33.4819,-112.079,32.517,-110.888
6860480,6860002,32.2283,-111,32.517,-110.888
6860045,6860002,35.1108,-114.555,32.517,-110.888
6860310,6860002,33.4955,-112.066,32.517,-110.888
6860205,6860002,34.1355,-114.285,32.517,-110.888
6860056,6860002,34.588314,-112.3307,32.517,-110.888
6860260,6860002,33.4969,-112.049,32.517,-110.888
6860022,6860002,33.480482,-112.04066,32.517,-110.888
6860044,6860002,33.601973,-111.88792,32.517,-110.888
6860300,6860002,33.53989,-112.35833,32.517,-110.888
6869050,6860002,33.531223,-112.09882,32.517,-110.888
6860046,6860002,35.0027,-114.596,32.517,-110.888
6860153,6860002,34.4804,-114.339,32.517,-110.888
6860058,6860002,33.609,-112.2986,32.517,-110.888
6860485,6860002,32.259574,-111.02221,32.517,-110.888
6860012,6860002,31.9649,-110.308,32.517,-110.888
6860028,6860002,33.2974,-111.875,32.517,-110.888
6860036,6860002,33.4781,-112.258,32.517,-110.888
6860100,6860002,35.709,-109.542,32.517,-110.888
6860090,6860002,35.7593,-109.048,32.517,-110.888
6860179,6860002,33.026108,-111.39323,32.517,-110.888
6860050,6860002,31.364319,-109.59753,32.517,-110.888
6860230,6860002,33.4527,-112.026,32.517,-110.888
6860049,6860002,33.4639,-112.06,32.517,-110.888
6860374,6860002,34.1316,-109.286,32.517,-110.888
6860264,6860002,33.4828,-112.006,32.517,-110.888
6860175,6860002,33.434916,-111.84284,32.517,-110.888
6860057,6860002,33.4114,-111.6819,32.517,-110.888
6860043,6860002,33.384,-111.723,32.517,-110.888
6860379,6860002,31.5546,-110.231,32.517,-110.888
6860175,6860003,33.434916,-111.84284,33.33506,-111.84642
6869050,6860003,33.531223,-112.09882,33.33506,-111.84642
6860242,6860003,33.480193,-112.03903,33.33506,-111.84642
6860234,6860003,33.511448,-112.00778,33.33506,-111.84642
6860250,6860008,33.4649,-112.058,33.4808,-111.991
6860232,6860008,33.5241,-112.102,33.4808,-111.991
6860042,6860008,33.292,-111.6865,33.4808,-111.991
6860300,6860008,33.53989,-112.35833,33.4808,-111.991
6860180,6860008,33.4061,-110.827,33.4808,-111.991
6860013,6860008,33.6092,-112.18,33.4808,-111.991
6860162,6860008,33.4248,-111.82271,33.4808,-111.991
6860056,6860008,34.588314,-112.3307,33.4808,-111.991
6860023,6860008,32.294152,-110.9708,33.4808,-111.991
6860021,6860008,35.2088,-111.644,33.4808,-111.991
6860379,6860008,31.5546,-110.231,33.4808,-111.991
6860182,6860008,35.2209,-113.9915,33.4808,-111.991
6860080,6860008,33.026377,-111.3879,33.4808,-111.991
6860220,6860008,34.1465,-114.299,33.4808,-111.991
6860502,6860008,32.2397,-110.85778,33.4808,-111.991
6860012,6860008,31.9649,-110.308,33.4808,-111.991
6860090,6860008,35.7593,-109.048,33.4808,-111.991
6860165,6860008,33.4334,-111.83987,33.4808,-111.991
6860039,6860008,33.433045,-111.8399,33.4808,-111.991
6860051,6860008,33.287,-111.752,33.4808,-111.991
6860019,6860008,33.6589,-111.956,33.4808,-111.991
6860485,6860008,32.259574,-111.02221,33.4808,-111.991
6860484,6860008,33.4645,-112.286,33.4808,-111.991
6864000,6860008,31.4178,-109.883,33.4808,-111.991
6860175,6860008,33.434916,-111.84284,33.4808,-111.991
6860225,6860008,34.2317,-111.321,33.4808,-111.991
6860054,6860008,33.6708,-111.922,33.4808,-111.991
6860257,6860008,33.43682,-112.08241,33.4808,-111.991
6860024,6860008,33.3803,-111.735,33.4808,-111.991
6860242,6860008,33.480193,-112.03903,33.4808,-111.991
6860234,6860008,33.511448,-112.00778,33.4808,-111.991
6860050,6860008,31.364319,-109.59753,33.4808,-111.991
6860022,6860008,33.480482,-112.04066,33.4808,-111.991
6860374,6860008,34.1316,-109.286,33.4808,-111.991
6860562,6860008,32.2652,-109.838,33.4808,-111.991
6860003,6860008,33.33506,-111.84642,33.4808,-111.991
6860410,6860008,36.1363,-111.24,33.4808,-111.991
6860205,6860008,34.1355,-114.285,33.4808,-111.991
6860360,6860008,32.8226,-109.735,33.4808,-111.991
6860290,6860008,33.4515,-112.043,33.4808,-111.991
6860483,6860008,33.3816,-111.845,33.4808,-111.991
6860560,6860008,33.9783,-112.74,33.4808,-111.991
6860044,6860008,33.601973,-111.88792,33.4808,-111.991
6860469,6860008,33.3807,-112.167,33.4808,-111.991
6860100,6860008,35.709,-109.542,33.4808,-111.991
6860378,6860008,33.6037,-112.284,33.4808,-111.991
6860235,6860008,36.1578,-109.583,33.4808,-111.991
6860179,6860008,33.026108,-111.39323,33.4808,-111.991
6860038,6860008,33.3348,-111.891,33.4808,-111.991
6860058,6860008,33.609,-112.2986,33.4808,-111.991
6860256,6860008,33.502277,-112.16901,33.4808,-111.991
6860057,6860008,33.4114,-111.6819,33.4808,-111.991
6869050,6860008,33.531223,-112.09882,33.4808,-111.991
