hospital_id,zcta_geoid,haversine_dist_m,zcta_longitude,zcta_latitude,year,fips_state,state,hospital_longitude,hospital_latitude
6880001,89121,10207.677103724,-115.08809141341,36.123354845156,2019,32,NV,-115.194,36.1567
6880001,89511,542574.280053814,-119.788893946832,39.4179281011064,2019,32,NV,-115.194,36.1567
6880001,89149,16499.806362945,-115.292413998399,36.2820580091686,2019,32,NV,-115.194,36.1567
6880001,89404,706970.408896483,-118.745200557208,41.8865533037486,2019,32,NV,-115.194,36.1567
6880001,89413,528229.713846808,-119.940837453559,39.0614850135069,2019,32,NV,-115.194,36.1567
6880001,89460,504156.107496796,-119.748482704308,38.8989803934312,2019,32,NV,-115.194,36.1567
6880001,89108,5934.67120362808,-115.225054213165,36.2038194440554,2019,32,NV,-115.194,36.1567
6880001,89013,248799.106010473,-117.253052640146,37.6721861358548,2019,32,NV,-115.194,36.1567
6880001,89129,11958.9940563992,-115.290867735118,36.2305622631297,2019,32,NV,-115.194,36.1567
6880001,89134,11385.3642721197,-115.307475740342,36.2024643900568,2019,32,NV,-115.194,36.1567
6880001,89046,79405.2398120207,-114.904867375278,35.4821740205704,2019,32,NV,-115.194,36.1567
6880001,89138,14535.5017537317,-115.354740355134,36.1724389201269,2019,32,NV,-115.194,36.1567
6880001,89429,506344.745456454,-119.276735722409,39.3703924530549,2019,32,NV,-115.194,36.1567
6880001,89139,13075.7076487753,-115.222531160986,36.0413893627862,2019,32,NV,-115.194,36.1567
6880001,89012,20190.1759845199,-115.046966016819,36.0194008504693,2019,32,NV,-115.194,36.1567
6880001,89010,306472.237788883,-118.057309039085,37.6923214111411,2019,32,NV,-115.194,36.1567
6880001,89557,553332.191490856,-119.815178892423,39.5421445785759,2019,32,NV,-115.194,36.1567
6880001,89101,6725.75594546628,-115.12171367471,36.1726012231534,2019,32,NV,-115.194,36.1567
6880001,89703,524856.849568932,-119.781816502527,39.1735993071565,2019,32,NV,-115.194,36.1567
6880001,89179,19222.8957946024,-115.254073052007,35.9907833035946,2019,32,NV,-115.194,36.1567
6880001,89008,175047.959278855,-114.504089677071,37.631098156647,2019,32,NV,-115.194,36.1567
6880001,89420,371217.172339338,-118.179566453513,38.5044666053698,2019,32,NV,-115.194,36.1567
6880001,89143,19392.4799628494,-115.288478494498,36.3135698853724,2019,32,NV,-115.194,36.1567
6880001,89086,15270.9575074057,-115.118391547002,36.2797446950852,2019,32,NV,-115.194,36.1567
6880001,89502,547532.2810025,-119.776697387177,39.4969217490433,2019,32,NV,-115.194,36.1567
6880001,89409,385509.302826596,-117.930615516709,38.8603967229434,2019,32,NV,-115.194,36.1567
6880001,89433,554610.916138872,-119.773112732278,39.5956938936155,2019,32,NV,-115.194,36.1567
6880001,89311,329911.061772025,-114.15068327067,39.0061925419353,2019,32,NV,-115.194,36.1567
6880001,89011,20476.0527701301,-114.989218990394,36.0758081220744,2019,32,NV,-115.194,36.1567
6880001,89301,349437.746001168,-114.894357978755,39.2903202650197,2019,32,NV,-115.194,36.1567
6880001,89166,19588.8221106961,-115.322162146972,36.2993399448566,2019,32,NV,-115.194,36.1567
6880001,89519,551072.965826934,-119.845980400168,39.4839407392485,2019,32,NV,-115.194,36.1567
6880001,89427,445168.921391951,-118.806263761608,38.955452824826,2019,32,NV,-115.194,36.1567
6880001,89406,486022.759945985,-118.796031850323,39.4755896276451,2019,32,NV,-115.194,36.1567
6880001,89070,54021.333473565,-115.614137498919,36.5052217498913,2019,32,NV,-115.194,36.1567
6880001,89405,609733.656505181,-119.349081646961,40.5692732210443,2019,32,NV,-115.194,36.1567
6880001,89102,1589.473587621,-115.192110921757,36.142487165005,2019,32,NV,-115.194,36.1567
6880001,89509,550720.83769093,-119.823506559889,39.4991561138865,2019,32,NV,-115.194,36.1567
6880001,89161,21971.2728168164,-115.407556703822,36.0603928408868,2019,32,NV,-115.194,36.1567
6880001,89451,541932.029262049,-119.952551072544,39.2537752517388,2019,32,NV,-115.194,36.1567
6880001,89047,280627.128454131,-117.637642587046,37.7557860322865,2019,32,NV,-115.194,36.1567
6880001,89445,578421.418264827,-117.745548391129,40.9614344813365,2019,32,NV,-115.194,36.1567
6880001,89113,12109.3636809076,-115.261641371407,36.062501500093,2019,32,NV,-115.194,36.1567
6880001,89446,577476.808960085,-117.956046460206,40.8799333091602,2019,32,NV,-115.194,36.1567
6880001,89027,123246.250967092,-114.080467070411,36.8101136961854,2019,32,NV,-115.194,36.1567
6880001,89436,550754.393964068,-119.703934058641,39.602627632728,2019,32,NV,-115.194,36.1567
6880001,89128,7589.3847777027,-115.26371742366,36.1953188833559,2019,32,NV,-115.194,36.1567
6880001,89506,562503.450539483,-119.860562556017,39.626946044138,2019,32,NV,-115.194,36.1567
6880001,89440,525413.576765614,-119.649220561022,39.306717700616,2019,32,NV,-115.194,36.1567
6880001,89408,520234.908022614,-119.217009454876,39.5939971505123,2019,32,NV,-115.194,36.1567
6880001,89319,347555.27470591,-114.990011298684,39.2781696566917,2019,32,NV,-115.194,36.1567
6880001,89832,650801.717256674,-116.126082611142,41.9646861074984,2019,32,NV,-115.194,36.1567
6880001,89026,43867.7281174784,-115.313977428944,35.7743262674571,2019,32,NV,-115.194,36.1567
6880001,89004,22769.09989787,-115.406001334749,36.0445032901507,2019,32,NV,-115.194,36.1567
6880001,89823,539473.479208053,-115.220932225781,41.0082483411724,2019,32,NV,-115.194,36.1567
6880001,89441,555694.93826756,-119.709055189882,39.6636488918856,2019,32,NV,-115.194,36.1567
