hospital_id,zcta_geoid,haversine_dist_m,zcta_longitude,zcta_latitude,year,fips_state,state,hospital_longitude,hospital_latitude
6920002,97412,40698.0777085114,-123.551303334311,44.1871542040176,2011,41,OR,-123.08327,44.042072
6920002,97537,172455.256260112,-123.16177966981,42.4922008027687,2011,41,OR,-123.08327,44.042072
6920002,89421,485831.264081466,-117.757253734882,42.0542361302683,2011,41,OR,-123.08327,44.042072
6920002,97426,15111.9911262907,-123.022216092971,43.9134642914443,2011,41,OR,-123.08327,44.042072
6920002,97442,146183.58367287,-123.402634084925,42.748053747111,2011,41,OR,-123.08327,44.042072
6920002,97641,211986.750580096,-120.681018107653,43.2587387259927,2011,41,OR,-123.08327,44.042072
6920002,97835,400119.574042011,-118.702030726331,45.8700232463171,2011,41,OR,-123.08327,44.042072
6920002,97148,145829.309565088,-123.205932912115,45.3506431314313,2011,41,OR,-123.08327,44.042072
6920002,97503,178045.732656405,-122.844600405577,42.4503344635808,2011,41,OR,-123.08327,44.042072
6920002,97527,183430.375791512,-123.353630908211,42.4042490176159,2011,41,OR,-123.08327,44.042072
6920002,97007,158410.909916767,-122.847904215239,45.456854924714,2011,41,OR,-123.08327,44.042072
6920002,97841,434284.898582314,-117.959591574285,45.4639186733544,2011,41,OR,-123.08327,44.042072
6920002,97310,95119.2774313486,-122.955057440397,44.8925916553494,2011,41,OR,-123.08327,44.042072
6920002,97041,203412.709320611,-121.587016850191,45.5317106914954,2011,41,OR,-123.08327,44.042072
6920002,97111,139343.156008847,-123.180579738713,45.293300978578,2011,41,OR,-123.08327,44.042072
6920002,97134,171750.622905228,-123.964313094073,45.4542703227468,2011,41,OR,-123.08327,44.042072
6920002,97814,424303.748189553,-117.842300819261,44.7844380835997,2011,41,OR,-123.08327,44.042072
6920002,97497,155655.542757913,-123.379501322612,42.6589003792371,2011,41,OR,-123.08327,44.042072
6920002,97801,383549.147744907,-118.786772610514,45.6622419321623,2011,41,OR,-123.08327,44.042072
6920002,97908,414459.990183152,-117.899766661845,44.3261762992891,2011,41,OR,-123.08327,44.042072
6920002,97321,66759.7280627548,-123.115278484907,44.6420191554262,2011,41,OR,-123.08327,44.042072
6920002,97221,163644.72625998,-122.727798913702,45.4919656305596,2011,41,OR,-123.08327,44.042072
6920002,97377,46015.9365300051,-123.104359202139,44.4556267970136,2011,41,OR,-123.08327,44.042072
6920002,97917,401886.419671953,-118.129249509058,43.5190270776572,2011,41,OR,-123.08327,44.042072
6920002,97477,5724.58113052196,-123.01700166325,44.0616174240827,2011,41,OR,-123.08327,44.042072
6920002,97336,39541.5570418971,-122.85250973657,44.356851730086,2011,41,OR,-123.08327,44.042072
6920002,97373,115553.083691697,-122.776419527662,45.0579988617008,2011,41,OR,-123.08327,44.042072
6920002,97329,64539.3907446851,-122.441906799052,44.3964847106543,2011,41,OR,-123.08327,44.042072
6920002,97439,81581.7475938189,-124.100965472422,43.9904583687721,2011,41,OR,-123.08327,44.042072
6920002,97434,40904.7432352905,-122.849795409837,43.7149591734578,2011,41,OR,-123.08327,44.042072
6920002,97366,97881.2990102177,-124.05936164252,44.5778305796087,2011,41,OR,-123.08327,44.042072
6920002,97756,152315.910797752,-121.201339374285,44.2735441708016,2011,41,OR,-123.08327,44.042072
6920002,97522,172384.530315794,-122.550823371135,42.5409959050304,2011,41,OR,-123.08327,44.042072
6920002,97032,128899.024287976,-122.798566434079,45.1834346943923,2011,41,OR,-123.08327,44.042072
6920002,97419,26397.9851849843,-123.357870624735,44.1742981331825,2011,41,OR,-123.08327,44.042072
6920002,97447,81874.0867530734,-122.90660620153,43.3169310272786,2011,41,OR,-123.08327,44.042072
6920002,97499,51173.929341077,-123.272318747295,43.6025309214947,2011,41,OR,-123.08327,44.042072
6920002,97001,216079.739109692,-120.637363368542,44.8964848711412,2011,41,OR,-123.08327,44.042072
6920002,97884,391413.626455059,-118.203246444575,44.4622175302345,2011,41,OR,-123.08327,44.042072
6920002,97031,218702.462795284,-121.539878443158,45.6766742930385,2011,41,OR,-123.08327,44.042072
6920002,97137,130740.075046194,-122.967105459739,45.2149342677784,2011,41,OR,-123.08327,44.042072
6920002,97453,63095.1807143779,-123.872363332473,44.0292490505692,2011,41,OR,-123.08327,44.042072
6920002,97369,110606.215387808,-124.060148103022,44.7507810134342,2011,41,OR,-123.08327,44.042072
6920002,97839,313249.863116051,-119.66772961117,45.4760246291156,2011,41,OR,-123.08327,44.042072
6920002,97218,173011.896003975,-122.602169812217,45.5601023410848,2011,41,OR,-123.08327,44.042072
6920002,97601,226527.21935146,-121.807296666935,42.230028576395,2011,41,OR,-123.08327,44.042072
6920002,97414,144108.473697696,-124.128296509388,42.9907068499278,2011,41,OR,-123.08327,44.042072
6920002,97738,324892.42143312,-119.090272411008,43.5591915493877,2011,41,OR,-123.08327,44.042072
6920002,97732,369894.333695118,-118.562235782929,43.4133609897737,2011,41,OR,-123.08327,44.042072
6920002,97446,25682.8865930125,-123.142748097891,44.2690672368186,2011,41,OR,-123.08327,44.042072
6920002,97055,163796.628158379,-122.246104795871,45.3896860894492,2011,41,OR,-123.08327,44.042072
6920002,97342,110587.408698033,-122.098507630877,44.7449137979079,2011,41,OR,-123.08327,44.042072
6920002,97124,166460.705092231,-122.942934457798,45.5357706850489,2011,41,OR,-123.08327,44.042072
6920002,97058,228591.620608053,-121.195120485255,45.6019059331289,2011,41,OR,-123.08327,44.042072
6920002,97622,246527.382141657,-121.045441740897,42.3956575054342,2011,41,OR,-123.08327,44.042072
