"","GEOID_ZCTA5_20","lat_mean","lon_mean"
"1","80010",39.7380148545078,-104.864530235053
"2","80220",39.7345998518859,-104.915195470074
"3","80045",39.7494020974025,-104.837892619094
"4","80011",39.7373438910088,-104.814610296525
"5","80239",39.7850808879519,-104.82316237774
"6","80137",39.7324725215785,-104.584727071272
"7","80019",39.8051226944262,-104.756115919379
"8","80102",39.7365054989461,-104.441573976989
"9","80642",40.0391414409709,-104.627905141347
"10","80022",39.853656387949,-104.859991026295
"11","80643",40.0748008408502,-104.497598512292
"12","80603",39.9860849944432,-104.737396001906
"13","80701",40.251571686528,-103.801922170538
"14","80103",39.707381113608,-104.196622027851
"15","80654",40.1939620368104,-104.06929254185
"16","80105",39.5818928253202,-104.084292553169
"17","80136",39.7439911200833,-104.325251193732
"18","80233",39.9009166590143,-104.955796065359
"19","80241",39.9290059830494,-104.949003055891
"20","80602",39.9511498233951,-104.921668582001
"21","80023",39.9689932543761,-105.023233654106
"22","80640",39.8951074440141,-104.868640871543
"23","80601",39.9822368873108,-104.792840096167
"24","80216",39.7773581715648,-104.969256549547
"25","80024",39.8443040650718,-104.918411109223
"26","80229",39.8627187380926,-104.959454626627
"27","80260",39.8673097521874,-105.00868881704
"28","80234",39.9125683476741,-105.006890528679
"29","80221",39.8213734552944,-105.010008576786
"30","80031",39.8727013337353,-105.038516399676
"31","80030",39.8301374251084,-105.036794847962
"32","80020",39.9241288823513,-105.062205475933
"33","80003",39.8292011144924,-105.064251678069
"34","80002",39.7949342112025,-105.097569822428
"35","80212",39.7709359480032,-105.046741962067
"36","81136",37.7392696055693,-105.891179671453
"37","81125",37.7583748190704,-106.108805918072
"38","81146",37.6416176635612,-105.796134760804
"39","81144",37.5747503725235,-106.139580653305
"40","81101",37.470395671984,-105.87954982943
"41","80246",39.7013926033538,-104.93130401339
"42","80110",39.6446548340582,-105.006953188101
"43","80236",39.6534907953895,-105.037310217661
"44","80123",39.6168954068772,-105.074218376485
"45","80121",39.6063674524184,-104.955060416133
"46","80122",39.5814586432005,-104.955999250027
"47","80113",39.6475605052074,-104.972067846849
"48","80128",39.5772109348577,-105.082752025322
"49","80120",39.5980424128399,-105.005818738211
"50","80129",39.541027492445,-105.011250213117
"51","80111",39.6097787131664,-104.880652030572
"52","80112",39.5756155719933,-104.874567269936
"53","80237",39.6392805191978,-104.900328162641
"54","80231",39.6714243281281,-104.889051886837
"55","80014",39.66420058789,-104.838116309847
"56","80016",39.5929604100737,-104.726144585298
"57","80018",39.6997374750459,-104.702206360751
"58","80017",39.6962130171186,-104.788252128297
"59","80013",39.6589882012291,-104.776131847884
"60","80230",39.7207721965507,-104.893456873474
"61","80012",39.6989167281988,-104.838751772566
"62","80222",39.6723087545458,-104.927200910654
"63","80247",39.6958376988955,-104.879527297806
"64","80015",39.6230245474163,-104.768519488152
"65","80224",39.6914314671258,-104.911077384809
