"","GEOID_ZCTA5_20","lat_mean","lon_mean"
"1","29654",34.4567228258463,-82.3836858319833
"2","29638",34.3648933691499,-82.3348093343871
"3","29692",34.410089354269,-82.2348661152392
"4","29627",34.5274689029438,-82.5005181826482
"5","29655",34.3062798912352,-82.6306321604617
"6","29639",34.3273381075434,-82.3968630968178
"7","29620",34.1921617323037,-82.4008373553043
"8","29653",34.2939967829872,-82.2238111397444
"9","29659",34.2108090847627,-82.64665649365
"10","29649",34.2273066024567,-82.1602926283918
"11","29646",34.1742427648207,-82.1471054246894
"12","29819",34.0538932943578,-82.203623059179
"13","29628",34.0952992136045,-82.5786532789693
"14","29006",33.8890883850242,-81.5483496865296
"15","29164",33.6561162100286,-81.4005767491831
"16","29129",33.7913532619624,-81.6668451572773
"17","29832",33.833003527117,-81.803468095422
"18","29105",33.8216375360949,-81.5972491284939
"19","29805",33.650283319634,-81.635706080438
"20","29847",33.6935551158986,-81.8473365194028
"21","29801",33.5768091066131,-81.7201211961011
"22","29829",33.5630343967527,-81.8431101920897
"23","29860",33.5853732498682,-81.9599666777962
"24","29841",33.5173106604942,-81.9494463330608
"25","29842",33.4522279719704,-81.8655318752698
"26","29831",33.3517468599863,-81.8113172690848
"27","29851",33.5168575543642,-81.8171977946587
"28","29803",33.4927792251105,-81.7155932568841
"29","29834",33.5171356462068,-81.84210401178
"30","29816",33.5017968756111,-81.8719745907608
"31","29828",33.5231656453949,-81.8286391614837
"32","29137",33.6008898746203,-81.3195083308874
"33","29146",33.5095574443391,-81.2965888907242
"34","29856",33.4854576610557,-81.5169729761452
"35","29853",33.4010569963384,-81.429281762362
"36","29809",33.4169348920685,-81.6882459300819
"37","29810",33.0096645379805,-81.3169189380481
"38","29827",32.9664735305362,-81.244556585693
"39","29812",33.2328150510724,-81.3599217007801
"40","29836",33.1112082701573,-81.4882050121573
"41","29849",33.0946994660041,-81.2220144032607
"42","29932",32.8201608795582,-81.2652150071271
"43","29621",34.5336272458597,-82.626103392812
"44","29624",34.4701104425846,-82.6439453492987
"45","29625",34.5352610177988,-82.7200266302387
"46","29642",34.7877350372108,-82.5566249048542
"47","29673",34.7251924498377,-82.4554419958848
"48","29611",34.8362048823621,-82.4500472261108
"49","29657",34.7772897458838,-82.6880177803919
"50","29670",34.6399657906724,-82.7446744257077
"51","29697",34.625795514367,-82.52399729521
"52","29669",34.6498115846707,-82.4339107223607
"53","29630",34.7284143981724,-82.7900034604916
"54","29631",34.6854954232206,-82.8182164492403
"55","29689",34.5352334752501,-82.8739973976131
"56","29643",34.5125363513533,-82.9994029226998
"57","29626",34.4729732656317,-82.7355031344917
"58","29684",34.392898838139,-82.6890766391913
"59","29042",33.3202742643181,-81.1406495773673
"60","29817",33.3566838331492,-81.2729292531261
"61","29003",33.2787601162126,-81.0294847022274
"62","29432",33.2467540235497,-80.8090240060109
"63","29481",33.1096721921588,-80.8023139208707
"64","29843",33.1967907866122,-81.1975578532956
"65","29081",33.0967078543014,-81.0331174977969
"66","29082",33.0376019596701,-80.9388852992148
"67","29826",33.3815797033735,-81.3715369652185
"68","29945",32.6886634134614,-80.8142725195129
"69","29940",32.5566038538218,-80.7411987269803
"70","29941",32.5732114502179,-80.8177315673242
"71","29906",32.4357358652323,-80.7589774064735
"72","29904",32.4627986949444,-80.7191515862509
"73","29902",32.4037968362754,-80.69733535395
"74","29935",32.3863145896848,-80.6913214444269
"75","29907",32.4498057648723,-80.6419587397869
"76","29905",32.3517942141727,-80.6856683586669
"77","29920",32.3875235391998,-80.5529924891215
"78","29915",32.1229356554183,-80.8560299028883
"79","29910",32.2515454635397,-80.8990812692982
"80","29909",32.2951398452084,-80.9518254586403
"81","29927",32.2697462976308,-81.0488909027801
"82","29926",32.2257396136098,-80.7374215975892
"83","29928",32.1645894991093,-80.7535485724165
"84","29436",33.3339125007056,-80.1965384755744
"85","29472",33.0719673451109,-80.3206445871903
"86","29059",33.3325569833027,-80.4127024038647
"87","29486",33.0755303279789,-80.1198498431518
"88","29479",33.3845461624114,-79.9167163322069
"89","29431",33.2996709864162,-79.9247179623821
"90","29468",33.4229449009391,-80.0640530827448
"91","29461",33.1461575875965,-80.0280863842522
"92","29453",33.2380929225021,-79.6561933828022
"93","29450",33.034914612911,-79.8067454437989
"94","29434",33.1504145917555,-79.8530693768728
"95","29492",32.8800270066931,-79.8971246086707
"96","29469",33.2438254843807,-80.0647829102246
"97","29445",33.0007792512908,-80.0300972011932
"98","29483",33.0198505638271,-80.2182312564828
"99","29456",32.9872525623447,-80.1176223207638
"100","29410",32.9302108645999,-80.0118821780772
"101","29406",32.9348802437386,-80.0391483337847
"102","29135",33.6748099532852,-80.8159043530628
"103","29160",33.7402918024545,-81.066229341768
"104","29112",33.6283126650867,-81.0850759136538
"105","29118",33.5432589919313,-80.8866405655253
"106","29053",33.8330220084281,-81.1119844429837
"107","29030",33.5564498844971,-80.6773538445883
"108","29047",33.5337949229986,-80.568718105533
"109","29401",32.7793695704932,-79.9366574829643
