GEOID_ZCTA5_20,lat_mean,lon_mean
89406,39.4755896276451,-118.796031850323
89496,39.2095377386861,-118.546477632311
89408,39.5939971505123,-119.217009454876
89107,36.1708901671312,-115.218168186732
89106,36.1866994797701,-115.166460597032
89108,36.2038194440554,-115.225054213165
89146,36.1452117396612,-115.22500037509
89102,36.142487165005,-115.192110921757
89101,36.1726012231534,-115.12171367471
89030,36.2047561991971,-115.119741998281
89110,36.1743116884188,-115.065206026024
89104,36.1513962813846,-115.106003390913
89121,36.123354845156,-115.08809141341
89119,36.098480634692,-115.134828015079
89122,36.1053737663389,-115.043836461789
89169,36.1261283715856,-115.140862106223
89109,36.1338205459115,-115.151103147613
89120,36.0890905739833,-115.090730315069
89123,36.0308784880548,-115.149262270572
89183,35.9994764919515,-115.146748242355
89014,36.0617948269148,-115.063440296619
89052,35.9865219770386,-115.108387784453
89139,36.0413893627862,-115.222531160986
89117,36.1415691284974,-115.286542937961
89147,36.1120174747196,-115.278989852445
89103,36.1125737058894,-115.21570612752
89113,36.062501500093,-115.261641371407
89118,36.0857682519648,-115.221585096846
89178,36.0139494763084,-115.28187867555
89128,36.1953188833559,-115.26371742366
89145,36.1680459272936,-115.270143767412
89149,36.2820580091686,-115.292413998399
89129,36.2305622631297,-115.290867735118
89134,36.2024643900568,-115.307475740342
89144,36.1789793370513,-115.324780193854
89135,36.1253697762067,-115.328961383447
89166,36.2993399448566,-115.322162146972
89131,36.3016475502924,-115.243300002922
89130,36.2541134066302,-115.226411398647
89143,36.3135698853724,-115.288478494498
89031,36.2597407625537,-115.171332363874
89032,36.2252583258255,-115.172175767567
89081,36.2628159426298,-115.112007973503
89084,36.2854008680928,-115.173747065219
89086,36.2797446950852,-115.118391547002
89115,36.2215683932778,-115.078861646732
89085,36.309867386285,-115.19755833664
89142,36.1488248895873,-115.044763333828
89156,36.1997384255731,-115.03456393223
89074,36.0384716679056,-115.081796299163
89011,36.0758081220744,-114.989218990394
89015,36.0349119064765,-114.96738225389
89012,36.0194008504693,-115.046966016819
89002,35.9990998551607,-114.962004649918
89005,35.9742612342497,-114.835747668411
89027,36.8101136961854,-114.080467070411
89040,36.5434403054866,-114.453388524957
89021,36.6026211699455,-114.475538481709
89025,36.6858262464483,-114.632123034488
89029,35.1360770170726,-114.62718854117
89019,35.7700147083015,-115.563696203345
89026,35.7743262674571,-115.313977428944
89046,35.4821740205704,-114.904867375278
89039,35.2824720597979,-114.877404096825
89044,35.9389629190221,-115.109053364693
89054,35.9378414960166,-115.199867685825
89124,36.3053600763838,-115.618255387793
89070,36.5052217498913,-115.614137498919
89018,36.5728967630511,-115.672120250024
89138,36.1724389201269,-115.354740355134
89141,35.9917971169656,-115.206103077531
89179,35.9907833035946,-115.254073052007
