GEOID_ZCTA5_20,lat_mean,lon_mean
26416,39.1522189821729,-80.0268478918826
26349,39.2303475308235,-80.1168181278207
26347,39.2775957911864,-80.136928022785
26330,39.2957385767436,-80.2405014092249
26238,39.0955610746092,-80.1547315292478
26201,38.9859650761603,-80.2160290639489
26250,39.0218283044107,-79.9533598274439
26267,38.9489728375797,-80.091606491518
26405,39.2131698312487,-79.9198232029504
26440,39.3311251359637,-79.9057068778918
26283,39.0441123287196,-79.8276507011985
26275,38.978978151658,-79.9493077740542
25419,39.5761597158929,-77.886218154803
25404,39.4842614301143,-77.9280417582221
25427,39.5466219269252,-78.057104746798
25403,39.494249519185,-77.9906267969951
25401,39.4581072358528,-77.9711213588315
25443,39.4353981704976,-77.8166883511073
25405,39.414631779562,-77.9597464218922
25428,39.3644723652811,-78.0254790001719
25420,39.3790910165563,-78.1180849557772
25413,39.3228200039346,-78.0485233291206
25421,39.3788974717582,-78.1573559941157
25430,39.3547274971083,-77.9352206769366
25009,38.1888978154505,-81.7051030424003
25529,38.138953223729,-81.8364230483749
25142,38.1527311807573,-81.7356092669383
25169,38.131258019038,-81.7599910469381
25081,38.0913061739582,-81.7811553936193
25053,38.044367627733,-81.8495550640129
25051,38.163019366764,-81.7080526442702
25154,38.1189189179361,-81.7054055624062
25003,38.2688727307872,-81.8023178979841
25165,38.1420520007143,-81.6590092809933
25508,37.9627403642747,-82.0145174634946
25203,38.0213770741712,-81.8813900807387
25114,37.9758387297389,-81.8174836574087
25108,37.9638241222181,-81.8700560271219
25149,37.9528351417222,-81.8072695787159
25565,38.1224617105648,-81.9533523446207
25130,38.0522879079838,-81.8038698276826
25024,38.1530143288191,-81.6295166242952
25181,38.0831971998056,-81.6240788979253
25049,38.1264145680016,-81.602013990058
25148,38.0472582202225,-81.5759957047448
25193,38.012196968727,-81.5563558348237
25209,37.9737794110368,-81.5303323249504
25205,38.0184061723401,-81.7739842530238
25093,37.9824688600482,-81.6752397296813
25204,37.9321495953228,-81.6318265230544
25206,37.9769367187709,-81.7154975694249
25028,37.9542541441319,-81.7164562045058
25021,37.9236177964871,-81.6897049741153
25208,37.8720068467864,-81.6426383633743
25047,37.9414124821988,-81.8078733758267
26412,38.8942191137688,-80.598322657496
26335,38.8557144622067,-80.6721629580025
26351,38.9303797035984,-80.8184838382192
26615,38.8298900076731,-80.7251586143688
26631,38.7855121348006,-80.5673932159259
26627,38.7581192325518,-80.6117352647604
26619,38.7737506787171,-80.7276960843301
26601,38.6570209377804,-80.6754936818623
26624,38.6901890554301,-80.7843965830722
26621,38.7309535396503,-80.6281325113526
26447,38.8880818143334,-80.4800061403741
26376,38.7848449204244,-80.4776977534961
26623,38.645884805318,-80.8663541408222
26636,38.7323357733296,-80.965900367266
25063,38.5797319565552,-80.9309179810715
25235,38.6699004836487,-81.0747451328544
26629,38.5703187588625,-80.7039137603027
26203,38.5242166187498,-80.6289556961195
26035,40.3508641454439,-80.5552826132819
26070,40.2691379144225,-80.5860695242067
26037,40.330604670876,-80.5861954161173
26062,40.413546908939,-80.5685766068522
26032,40.2002156782585,-80.5596136978915
26030,40.2256366436116,-80.6520003480903
26075,40.1933473102474,-80.6598860974144
26058,40.1856296848228,-80.6674885988124
26003,40.0686707186629,-80.6848497184558
25705,38.4100844094103,-82.3641096622518
25702,38.4319930125988,-82.3741505905014
25703,38.4207903622985,-82.4198165230866
25755,38.4230851814772,-82.4256649710288
25701,38.4001354206394,-82.4356297092366
25704,38.3834981587364,-82.5022802344213
25504,38.3935020214586,-82.2842189043857
25537,38.5146301690484,-82.2838609336784
25545,38.4378241211508,-82.2269754658735
25559,38.3321551743066,-82.2337811567244
25506,38.2190525101806,-82.2025455800841
25541,38.4466046823319,-82.1413864120197
25510,38.4115021020225,-82.0652596897574
25520,38.5550079269488,-82.1838625211301
26137,38.9962596403997,-81.046471483998
26136,38.9639974842931,-81.1113833628466
26147,38.9188963423666,-81.0832599708717
26138,39.0277158451573,-81.1832365039384
26152,38.9815712547761,-81.1967819726207
26151,38.8715524826831,-81.1533047240657
26141,38.9389903909591,-81.2656437994445
25261,38.8298991143888,-81.093685942741
25234,38.8081917962176,-81.1282700532886
25267,38.8499941684327,-80.9363098937754
25268,38.7383625371872,-81.1061693603039
25259,38.6702861428745,-81.2534505712662
26638,38.7623997219485,-80.9889348812881
25141,38.6316990510143,-81.033023378081
25113,38.5556147772111,-81.0378345175795
25043,38.4635450008851,-81.018473085589
25285,38.5355869180985,-81.1238010619805
26617,38.4899274951186,-80.8262441077551
25164,38.5053968459721,-81.1906920504788
25133,38.4869954433084,-81.1213712011422
25030,38.4575844005515,-81.2306391683938
25045,38.4923861535876,-81.331705591285
25211,38.4690179971816,-80.8656332394575
25019,38.373039603234,-81.1018235426604
25111,38.3438659246424,-81.1275239013883
25088,38.37807206791,-81.2141355034997
25125,38.3154896572649,-81.1833696177732
26339,39.4173688516373,-80.6159055360665
26456,39.2943921722045,-80.7717831104631
26426,39.2861378498663,-80.5603955663229
26448,39.4123126001714,-80.4887176657176
26411,39.1941973605404,-80.697114329871
26443,39.0613843075715,-80.7581442860436
26321,39.040892589161,-80.6812883071566
26415,39.2902251721113,-80.9238269844536
26320,39.4191733071296,-80.8172689625119
26436,39.2956686219565,-80.7195589220881
25840,38.0381688943694,-81.1067817252589
25901,37.9797236306332,-81.1437165617076
25879,37.979477837677,-81.111300052359
25866,38.0068961552476,-81.155683068007
25917,37.9604775226288,-81.1941987130808
25880,37.8698169437004,-81.2010667412317
25846,37.9256264678442,-81.1570306834218
