"","GEOID_ZCTA5_20","lat_mean","lon_mean"
"1","08401",39.3613823273599,-74.4405179975858
"2","08406",39.3434176422635,-74.481472019462
"3","08203",39.4006304132988,-74.3836576654271
"4","08201",39.4284680398018,-74.5037889414885
"5","08205",39.4752080942481,-74.5038190407232
"6","08215",39.5306520053796,-74.61570069933
"7","08330",39.4572640456123,-74.7016388146916
"8","08241",39.5257211509241,-74.4910675916677
"9","08037",39.6395219138863,-74.7956726499107
"10","08217",39.5770668247667,-74.7188682096928
"11","08094",39.6723502282827,-74.985856353063
"12","08350",39.4909755803651,-74.8726181092392
"13","08310",39.5189575561283,-74.9123499054024
"14","08360",39.4887573816882,-75.0200211001604
"15","08340",39.4391974879186,-74.8728374632646
"16","08344",39.5622072734262,-75.0271773498028
"17","08326",39.5247849580683,-74.9380723731169
"18","08346",39.565658189367,-74.8608543305101
"19","08341",39.5179547949084,-74.9495906758807
"20","08317",39.403789702026,-74.8299673294853
"21","08270",39.2507871485297,-74.7934371082331
"22","08319",39.3749545467893,-74.8183661561475
"23","08234",39.3919668149508,-74.606514689567
"24","08232",39.3941925709358,-74.5231638568972
"25","08225",39.3707527872306,-74.5550738479643
"26","08221",39.3463349232917,-74.5749718468272
"27","08244",39.3219833401627,-74.6010776618077
"28","08402",39.3314219702119,-74.5068737182524
"29","08403",39.3158314706689,-74.5251173271159
"30","08240",39.4946306932836,-74.5329698114364
"31","07401",41.0322102058699,-74.1327391406801
"32","07446",41.058469014831,-74.1424558797167
"33","07620",40.9539776749026,-73.9305461800113
"34","07647",41.0103351766531,-73.9509394573494
"35","07648",40.9956653464988,-73.9569520972467
"36","07621",40.9238732808219,-73.9987842871535
"37","07603",40.8744961122388,-74.027620243119
"38","07072",40.8401427240297,-74.092020268023
"39","07010",40.8220167555178,-73.9878695721149
"40","07624",40.9720178028007,-73.95889499495
"41","07626",40.9412222508047,-73.9641806300641
"42","07627",40.9547934728571,-73.9599846570201
"43","07641",40.9608295452377,-73.9872891316482
"44","07628",40.944703102119,-73.9919929743434
"45","07407",40.9067565693879,-74.1205196863186
"46","07073",40.8365611203222,-74.1025909970444
"47","07020",40.8215094718559,-73.9794423836922
"48","07630",40.9759589176917,-74.0279043183459
"49","07631",40.8933702175682,-73.9780372744675
"50","07605",40.8629815095385,-73.987609981822
"51","07632",40.8816994305791,-73.9547870083466
"52","07410",40.9347398869841,-74.11700276313
"53","07022",40.8167481122081,-73.9993659651407
"54","07024",40.8505138137341,-73.9736361610892
"55","07417",41.0089400716088,-74.2095219453168
"56","07481",40.9974646396791,-74.1660644823399
"57","07026",40.8790499132122,-74.1082310328124
"58","07452",40.960218616926,-74.1248919428997
"59","07601",40.8879874867254,-74.0494996476961
"60","07675",41.0025690803934,-74.013468749975
"61","07640",40.9915766767451,-73.9798542867326
"62","07604",40.8624210179647,-74.0754564300319
"63","07608",40.8584971372266,-74.060756856951
"64","07642",41.0068907195114,-74.0421757132849
"65","07423",41.0004471835687,-74.1016851707121
"66","07643",40.8498344458308,-74.0400698116551
"67","07644",40.8763344011911,-74.0836548512933
"68","07071",40.808601665885,-74.1221209547674
"69","07430",41.0766185457842,-74.1561690323415
"70","07607",40.9023175949542,-74.0624144008763
"71","07432",40.9953336077206,-74.1408319099901
"72","07450",40.9820212310234,-74.1127204986327
"73","07645",41.0506534910885,-74.0404550862881
"74","07677",41.0256789174356,-74.0602791717061
"75","07606",40.8629901808121,-74.0467443508477
"76","07074",40.8393149727838,-74.0571164029084
"77","07646",40.9331398127193,-74.0189977034128
"78","07031",40.7898134830973,-74.1332831694561
"79","07436",41.0308185880503,-74.2336587323887
"80","07649",40.9535419648908,-74.0332224026079
"81","07650",40.8463084879494,-73.9949379882874
"82","07652",40.9476623754313,-74.0674421889281
"83","07656",41.0347926161325,-74.0400132686075
"84","07657",40.8322282624337,-74.0010802833728
"85","07660",40.8562524711897,-74.0226202030256
"86","07661",40.926469811403,-74.0385669826354
"87","07662",40.9065962782023,-74.0787363048266
"88","07070",40.8290446655514,-74.1113765296547
"89","07663",40.9043215328372,-74.0959296814113
"90","07458",41.053720725676,-74.0981100410225
"91","07666",40.8913036094562,-74.0113717709544
"92","07670",40.9223087036502,-73.9653412074767
"93","07463",41.0132114585287,-74.1240821887692
"94","07057",40.8536373827216,-74.1079074793095
"95","07676",40.9886216800973,-74.060876909181
"96","07075",40.8512346728353,-74.0881187897724
"97","08065",40.0044037328118,-75.0265463140354
"98","08077",39.9980505257249,-74.9950716975979
"99","08052",39.9508385180701,-74.9939217087394
