GEOID_ZCTA5_20,lat_mean,lon_mean
94705,37.8573990321107,-122.251231456147
94704,37.8661016070844,-122.26072040313
94720,37.8675714285045,-122.253030787309
94611,37.8282424699958,-122.228399391015
94618,37.8435641392253,-122.24286974587
94609,37.8348417013366,-122.264488167778
94608,37.8359084170301,-122.282799222181
94612,37.8086325862634,-122.268896471428
94607,37.8064966278776,-122.283538351013
94610,37.8124516693699,-122.24507662985
94602,37.8015238483818,-122.21105757434
94606,37.7950145785115,-122.243487808339
94601,37.779740927316,-122.217768914508
94619,37.788709782566,-122.190932965082
94621,37.758331903798,-122.186938522771
94605,37.7648994087774,-122.165372409767
94613,37.7807149958589,-122.182955985217
94603,37.7409466266339,-122.17234865133
94706,37.8895823039657,-122.296929899976
94710,37.8689440545201,-122.296784750231
94707,37.8963612238003,-122.278452280265
94708,37.8937459511173,-122.263186005441
94709,37.8779778852641,-122.265863120662
94703,37.8624942148035,-122.275611818831
94702,37.8652680152769,-122.285936284541
94501,37.7688260488565,-122.259596059805
94502,37.7378615410534,-122.244953443385
94552,37.7074312856948,-122.036719980722
94546,37.7011906332858,-122.079666867005
94577,37.7212818048125,-122.160536791229
94578,37.7025748153738,-122.125389066941
94541,37.6734753808293,-122.091203516477
94579,37.6883656829974,-122.15325042636
94580,37.6793738324111,-122.130418268467
94542,37.656787554563,-122.043894378381
94586,37.5988867011349,-121.888065357143
94544,37.6380336831808,-122.068444161465
94545,37.6321636528649,-122.099899361674
94587,37.5904201790805,-122.047747259821
94536,37.5607765174052,-122.000616700636
94555,37.5720280781372,-122.04908100313
94539,37.5146764974064,-121.928414921622
94538,37.5334491922641,-121.97159601429
94560,37.5344962605034,-122.032356599925
94568,37.7144468400448,-121.894042268722
94588,37.6882402179494,-121.891860696817
94566,37.6623113458762,-121.872005486445
94550,37.6721909851003,-121.759140375261
94551,37.7015811615878,-121.762855510918
94505,37.9077116399633,-121.610243742726
94514,37.8678764600116,-121.635991614187
95391,37.7733783713127,-121.547394459375
95377,37.7219364123433,-121.453279869463
96120,38.7699186971984,-119.795368855643
95646,38.6910732489293,-120.070991814502
95223,38.2630968011555,-120.32801512207
95666,38.4531265343711,-120.547403484692
95689,38.4806376384041,-120.600433970129
95669,38.4793632139352,-120.8684163814
95699,38.4401683498459,-120.852701370289
95640,38.3505511080784,-120.941889133008
95685,38.4018085439053,-120.778377023709
95601,38.4216329024085,-120.827001597056
95629,38.5060210508427,-120.714501173326
95675,38.5454714398318,-120.743105572888
95642,38.3580883395221,-120.754004003919
95665,38.4026780842156,-120.653062062942
95926,39.7429907365122,-121.848300477063
95973,39.77640256387,-121.859529105323
95928,39.7277404913103,-121.81262692547
95929,39.7259239111526,-121.850082237448
95938,39.644074507893,-121.791266846494
95965,39.526097943263,-121.582173017412
95958,39.5596989604363,-121.778709019039
95942,39.8951389780038,-121.660098527085
95954,39.8413594139406,-121.598652074388
95969,39.7509280605306,-121.606871712041
95978,39.9082015108149,-121.529478859735
95916,39.6378281468293,-121.393784437796
95941,39.5167781305912,-121.262924213208
95966,39.4906195346323,-121.506307413584
95930,39.5370730272345,-121.16361729303
95914,39.4138963489263,-121.370914539943
95968,39.4352022887998,-121.547019141484
95901,39.157266537881,-121.546194178809
95917,39.4129791655321,-121.697974895445
95948,39.3591402752159,-121.696059420054
95974,39.4963366003396,-121.749723103453
95249,38.1939948900421,-120.663009886888
95222,38.0742025502872,-120.56205126821
95221,38.0738813636114,-120.550746730173
95251,38.0961216571858,-120.46368319814
95247,38.1484579729145,-120.440582432454
95228,37.9332755915321,-120.625835497958
95230,37.9458489679897,-120.924933398218
95252,38.1489134155994,-120.859270177667
95226,38.22642505992,-120.863063665926
95225,38.2035607397231,-120.873673324484
95254,38.1980545982184,-120.959679445382
95236,38.0209409069279,-121.071043633155
95245,38.3069936356238,-120.628077478598
95246,38.2399673251155,-120.511633000579
95255,38.4016360150907,-120.520529851363
95257,38.3784659384206,-120.48269115989
95248,38.3251497005285,-120.486749480726
95232,38.3544783885238,-120.577304141042
95224,38.2124882106824,-120.360921807465
95233,38.1889069534849,-120.365951279037
95957,39.127885087294,-121.890036910119
95950,39.0682242976415,-121.899114414245
95912,39.0074926489384,-122.059186037371
95645,38.8287746187709,-121.726534280264
95987,39.1508764367469,-122.152843000176
95932,39.2087323459655,-122.010355382398
95955,39.2823631926692,-122.197753395697
95979,39.3326211956585,-122.531439011332
95970,39.4171980898196,-122.023417665632
94511,38.025594342764,-121.634205937258
95219,38.0107540982164,-121.366756309284
94513,37.9370055379571,-121.71237625159
94561,37.9892832029613,-121.707164369218
94531,37.9689298725689,-121.774941133084
94548,37.9744123852507,-121.663246513314
94509,37.9957920010427,-121.814769095571
94565,38.016582516996,-121.916297588108
94521,37.9571280501327,-121.975837172154
94520,37.9752041991594,-122.040148914089
94553,37.9943975581482,-122.105967886824
94523,37.9532103920619,-122.073570644958
94549,37.89599084567,-122.112818340778
94597,37.9218385802518,-122.066454655864
94519,37.9832154388209,-122.013343742398
94518,37.9512349487799,-122.026989520173
94507,37.8555298169044,-122.016437864814
94595,37.8755753623894,-122.071426210179
94598,37.918625044011,-122.027199523165
94596,37.8930028530333,-122.048309095981
94583,37.7524724103692,-121.958796108931
94582,37.7663891165088,-121.916928724763
94526,37.8118191942203,-121.982821111684
94506,37.8040898687726,-121.90949649871
94556,37.842477024543,-122.125910005182
94528,37.8399293138931,-121.957432287581
94563,37.879130658686,-122.175092706095
94575,37.8413406390684,-122.110453952288
94516,37.8323403110848,-122.163720399504
94517,37.9347095445171,-121.923212955962
94572,38.0292391017351,-122.259501550536
94547,38.0088017525587,-122.265640510504
94803,37.9696172182389,-122.292084107004
94525,38.0521969868582,-122.219317511732
94569,38.0448183638898,-122.185292136225
94564,37.9969745011838,-122.290240572891
94806,37.9733715422798,-122.338616207842
94805,37.9414489032455,-122.325234011929
94530,37.9167490478125,-122.30416679397
94801,37.9407856339525,-122.362890976922
94804,37.9263881243994,-122.336935170654
95531,41.7872655291646,-124.178286710884
95538,41.8668734911073,-124.149096733629
95567,41.938111366953,-124.168198590801
95543,41.8545987590857,-123.953073825462
95548,41.5411287804374,-124.031509501295
96150,38.9144247594998,-119.987543607079
95614,38.8977999880127,-120.977308672005
95603,38.9097640283313,-121.081332353514
95664,38.8198082509891,-121.027532124918
95634,38.9143309928711,-120.812151583507
95633,38.8425743394662,-120.847823668448
95667,38.7246717221435,-120.803131451968
95735,38.8053039166448,-120.151180214512
95720,38.7957411311177,-120.277340366352
95726,38.7455721913335,-120.586711977389
95721,38.819766000446,-120.073865236895
96155,38.7834945008606,-120.092066154767
95635,38.9126138019903,-120.904480408111
95613,38.8107037078428,-120.892159361143
95651,38.8067155468398,-120.92298729592
95762,38.6771440505715,-121.065112307471
95630,38.6702751671595,-121.144600842293
95672,38.712163533962,-120.990820291914
95682,38.6671937696828,-120.974716870784
95709,38.7444018471928,-120.670060060225
95684,38.6039320950035,-120.669899518326
95623,38.642931540404,-120.851287061119
95636,38.6348028855417,-120.534707547015
95619,38.6861631738607,-120.815368557815
96142,39.0544624194586,-120.130951227938
93721,36.7383182201762,-119.786574127292
93706,36.7034154388562,-119.817756347763
93702,36.7390641419679,-119.753912189603
93701,36.7491778628012,-119.787748417468
93725,36.6907155977155,-119.738297671334
93727,36.7473334277531,-119.70084283256
93737,36.7720630125642,-119.65457103734
93616,36.6552098826307,-119.593697916016
93625,36.6289495951055,-119.677779929357
93662,36.5725288314875,-119.618317964349
93722,36.801201941049,-119.875647657137
93705,36.7867579615476,-119.828759522991
93728,36.7582855511128,-119.814045311758
93703,36.768949839025,-119.760701088958
93612,36.8125530062903,-119.712897323036
93726,36.7944121555645,-119.761685069514
93704,36.7981350163273,-119.801185536773
93741,36.7674304882321,-119.796035465738
93723,36.8028415509178,-119.919393587492
93630,36.7291752523468,-120.069783970245
93640,36.7566076457099,-120.386203186149
93660,36.6078127190859,-120.186770358598
93606,36.8045468359194,-120.018597338732
93711,36.8302561440418,-119.834410102577
93720,36.8593804850151,-119.754849607012
93650,36.8404308741771,-119.800505089018
93710,36.8231309424201,-119.765047354073
93740,36.8122716546182,-119.748538114555
93730,36.8909821009122,-119.754802411705
93619,36.8435482924943,-119.649721368176
93611,36.8215910836159,-119.67987629982
93626,36.9914425020482,-119.677392273265
93657,36.7200150815947,-119.551330227001
93654,36.6011707283416,-119.440997351191
93618,36.5400476224483,-119.392692628187
93651,37.0024253000415,-119.519634564016
