"","GEOID_ZCTA5_20","lat_mean","lon_mean"
"1","23336",37.9282525867543,-75.3708536855628
"2","23415",37.956110090997,-75.5209176274559
"3","23395",37.9629150083446,-75.4554092099999
"4","23337",37.924601201115,-75.4857108717043
"5","23356",38.0012172523401,-75.4170116606911
"6","23416",37.9328838230041,-75.5526178980094
"7","23488",37.9537137984411,-75.5938143436691
"8","23442",37.898965766398,-75.5590540354643
"9","23303",37.904520525252,-75.511847679522
"10","23302",37.8681991052944,-75.5295394803216
"11","23426",37.9268518454121,-75.668047697577
"12","23427",37.9259799115414,-75.7227651822675
"13","23409",37.8601929439544,-75.6173552978349
"14","23359",37.8720195945762,-75.5891789943209
"15","23308",37.8267789832655,-75.608516215222
"16","23421",37.7759742318912,-75.6330072972354
"17","23407",37.8415609300708,-75.5655538316908
"18","23414",37.8144903683035,-75.5873231262725
"19","23357",37.75531892016,-75.6723717973719
"20","23301",37.7125286838492,-75.6656333999812
"21","23417",37.7128904038143,-75.7555857365173
"22","23441",37.7112212792934,-75.7010113421553
"23","23440",37.8245746652936,-75.9933930364924
"24","23418",37.6810852461582,-75.7002258981977
"25","23410",37.6493184749763,-75.7471542435742
"26","23401",37.6217536417691,-75.7657304076319
"27","23422",37.6309400065858,-75.8171958825548
"28","23420",37.5921856978979,-75.8137371950366
"29","23389",37.6589949457834,-75.8319075976942
"30","23358",37.6403443841831,-75.8654640861194
"31","23306",37.5626048557718,-75.8504721429894
"32","23480",37.6065389302387,-75.6911845933576
"33","23423",37.5453854562145,-75.7418320150735
"34","22936",38.1554080545037,-78.4888077896877
"35","22935",38.2536416149942,-78.5506078352572
"36","22940",38.1992495463856,-78.58933807549
"37","22932",38.0769486877287,-78.7005200830835
"38","22901",38.0713434857718,-78.5024661324469
"39","22968",38.2311692748763,-78.4010688226195
"40","22911",38.0982050670367,-78.4312321461201
"41","22923",38.1977951537218,-78.3490094782658
"42","22947",38.0119552781265,-78.348494783505
"43","22942",38.0911031417585,-78.1939260303734
"44","22902",38.0098485656297,-78.4821660232032
"45","22974",37.9702711112926,-78.2714095168034
"46","22903",38.0296615227123,-78.5241491434685
"47","22904",38.0345783231831,-78.5131425353768
"48","22943",38.0400823663486,-78.7756733076418
"49","22920",37.9807647966641,-78.814696031811
"50","22959",37.9462037828124,-78.6344332836443
"51","22931",37.8990359484077,-78.7075113284026
"52","24590",37.8090167731596,-78.4653522646266
"53","22937",37.8197167563022,-78.6082297520746
"54","22946",37.8497147170302,-78.5615656452412
"55","22969",37.8051562065621,-78.6881812491069
"56","24562",37.7009708705105,-78.6133242017594
"57","22938",37.8580397551482,-78.7902120715884
"58","24422",37.8215875962905,-79.8042704034183
"59","24445",37.960941774464,-79.875456962692
"60","24085",37.681159161906,-79.8062845807342
"61","24448",37.7982295754771,-79.7908314679948
"62","24474",37.8037456390441,-79.8493688742002
"63","24426",37.7810470810481,-80.0138774831523
"64","24457",37.7919160971981,-79.8748531692079
"65","23002",37.3488807509308,-77.9510595669307
"66","23083",37.3210802858987,-78.1036169471106
"67","23966",37.2783357803162,-78.278935710318
"68","23833",37.1972307283593,-77.6632209331065
"69","23850",37.1463252084361,-77.7358902439322
"70","24521",37.5969924957339,-79.0554487268404
"71","22922",37.6864975199875,-78.9299374198914
"72","22967",37.7908353427853,-78.9970368721263
"73","24574",37.5385502466892,-79.1884700312905
"74","24483",37.8489517262179,-79.2187398630729
"75","24526",37.5239542263223,-79.397908866186
"76","24595",37.5567723715152,-79.085296936855
"77","24553",37.5382161286917,-78.828597257291
"78","24572",37.4611114884486,-79.1141626852466
"79","24522",37.3609633498865,-78.8186310275778
"80","24593",37.3367511552651,-78.9076448004605
"81","24538",37.3434819102631,-78.9699463976035
"82","24504",37.3936052115659,-79.1112556563455
"83","23958",37.2743136710716,-78.664275827855
"84","23960",37.3060945053992,-78.5511555667576
"85","23963",37.1945175631459,-78.7921510348108
"86","22213",38.8932418588727,-77.1621842712204
"87","22207",38.9029811673973,-77.1254969574161
"88","22205",38.8832630824159,-77.1394175223231
"89","22101",38.9313835805366,-77.1697836852372
"90","22201",38.8871674672785,-77.0930922781495
"91","22203",38.8766413019111,-77.1118611513281
"92","22209",38.8932766488416,-77.0751722268704
"93","22204",38.8592099241118,-77.0997898426232
"94","22206",38.8424885228259,-77.0886997043779
"95","22211",38.8790175453692,-77.081560361907
"96","22214",38.8745666344256,-77.0653084186057
"97","22202",38.8576131817351,-77.0570970158626
"98","24479",38.1691866593034,-79.2066139764046
"99","24430",38.0718025548564,-79.3670864775928
"100","24411",38.10819068612,-79.3285977985094
"101","24439",38.0024830394716,-79.4798949063027
"102","24485",38.2654412319003,-79.3366657458358
"103","24421",38.2415398919479,-79.1771285600689
"104","24432",38.1775642639647,-79.4178512117869
"105","22812",38.3854092448551,-78.9890837834591
"106","22843",38.3319977754253,-79.0979593970126
"107","24401",38.147586367896,-79.0764395394014
"108","22841",38.344689042512,-78.8988882240318
"109","24486",38.2885099800924,-78.9225363405054
"110","24467",38.2608900163992,-78.9769632079704
"111","24437",38.2099455082621,-78.9279379580656
"112","24482",38.1993582399928,-79.003161826717
"113","24441",38.249743277443,-78.8246216218517
"114","24431",38.1693578194169,-78.841587975978
"115","24469",38.2009898586204,-78.9082536678303
"116","22980",38.078183398429,-78.9057226005729
"117","22939",38.1038907947735,-78.9708077355749
"118","24477",38.0177595652257,-79.0303615244269
"119","24459",38.0286608001783,-79.2732128532047
"120","24472",37.9330933429906,-79.226762551653
"121","24440",37.990019776384,-79.1529106781332
