GEOID_ZCTA5_20,lat_mean,lon_mean
70525,30.3955390237682,-92.2065516818647
70535,30.4881922340952,-92.4168775759257
70516,30.3664997180087,-92.2975807185082
70526,30.2165716620781,-92.3739884137881
70543,30.3259444920737,-92.509323103488
70515,30.4683950355081,-92.5817248732856
70537,30.2622955839204,-92.5673730254556
70546,30.241140333046,-92.6566778087699
70578,30.2287430004608,-92.2546857581782
70531,30.2364018999989,-92.5070775193284
70583,30.2515590784324,-92.1018904827043
70529,30.1964523730973,-92.1497476491748
70559,30.1210763717315,-92.4928818199554
70534,30.1841969204617,-92.4619240886021
70556,30.1914228908567,-92.5799528509382
70658,30.5199852389334,-93.0470781625647
70657,30.4673375649335,-93.182413758671
70651,30.5457659316692,-92.9524015207255
71463,30.8199886417473,-92.6504355471078
70656,30.9252727366826,-92.9327653579706
70638,30.8663714150924,-92.8020160318477
70654,30.6979980655082,-92.8859920522369
70644,30.7879832756096,-92.9488285099962
70637,30.7060893082403,-92.960681541999
70662,30.7944507574183,-92.9999745918686
70648,30.4971864369601,-92.8641677996878
70655,30.6263449666171,-92.7463741550063
70532,30.4809787343581,-92.6997980195645
70737,30.2432290749705,-90.9234053667279
70769,30.3112680890006,-90.9441891741902
70774,30.2397600107863,-90.8383473888455
70734,30.248090015939,-90.9906668180603
70778,30.1741449961005,-90.8809152398277
70725,30.1382197391661,-90.948282582169
70449,30.2673309857047,-90.7039637517718
70346,30.0978908435175,-90.9986787843171
70341,30.0234071937004,-91.0543233967183
70339,29.9482585432278,-91.2008571306637
70393,29.997966099705,-91.0205130033498
70390,29.9294786368298,-91.0242100153078
70391,29.9940353386589,-91.0590117838503
70301,29.8002579845015,-90.8151320303346
70372,29.8300635422286,-90.9637490029281
70380,29.7027220764125,-91.1874053026078
71351,31.141219460676,-92.0863552995678
71320,31.0907613384126,-91.7710582310232
71355,31.0568408429078,-91.9389002913535
71350,31.0640376533246,-92.0655841712886
71328,31.3524145201805,-92.2048563147241
71331,31.2285969576008,-92.1200104086939
71323,31.262812660131,-92.2068196591798
71360,31.3452106995837,-92.3865339422561
71341,31.0581740035609,-92.1561397628365
71322,30.9313542085551,-92.169280199118
71327,30.9821498430885,-92.0416863828017
71333,30.9279105743711,-92.0867725975239
71362,30.9343491515639,-91.961396220782
71339,31.0232180179682,-91.9328000148546
71356,30.8360450952238,-92.0353249385878
71369,30.975707105056,-91.8263287767384
70634,30.8306525917194,-93.2583947680217
70652,30.5851784481906,-93.2490933137784
70653,30.7636608382964,-93.5292847670103
70660,30.5793317396654,-93.4339220390781
70661,30.3294955577914,-93.6727171996695
70633,30.4498634189259,-93.4185918475883
71001,32.5658744687047,-92.9166317816875
71028,32.5274820722429,-93.0669376191693
71055,32.6288914177526,-93.2834618199114
71008,32.3226936681788,-92.9576613455174
71068,32.3088753799164,-93.3053280403838
71039,32.4351683208711,-93.288041594384
71024,32.5210950632237,-93.2136638174277
71045,32.3439816095647,-93.1683853034626
71016,32.2155354839953,-93.1232672519279
71070,32.1281580950374,-92.9811316299772
71251,32.2340898422792,-92.6873037618194
71268,32.3281295146163,-92.7133781965383
71275,32.527263450191,-92.7977840831367
71111,32.5673852632698,-93.6992043802494
71107,32.5709013572444,-93.8382728660107
71112,32.4780140740672,-93.6693129813536
71104,32.4837070052689,-93.7335690041584
71105,32.458997639458,-93.7125789497781
71037,32.5484814205231,-93.5602242223896
71110,32.5102322333129,-93.6486848651255
71051,32.3735730735706,-93.4953015159456
71023,32.4823469062356,-93.3997383304064
71006,32.6816486035394,-93.6954348841066
71067,32.577591090412,-93.5250193611573
71018,32.8139871071187,-93.422053241829
71064,32.8887728009097,-93.7081556699421
71075,32.9993137750797,-93.4607455067425
71071,32.9182325673881,-93.4396218182462
71101,32.5022985794351,-93.7446107540463
71103,32.4925626445975,-93.7736740157393
71106,32.4098657389273,-93.7419194700124
71108,32.447797053724,-93.7827560846579
71109,32.4752994614287,-93.8033546349615
71115,32.4095229544109,-93.6982858659984
71047,32.3282330092446,-93.8847024786648
71118,32.3974831800265,-93.8031837780935
71129,32.4173235274025,-93.8793280225932
71007,32.3792043481297,-94.0010515054352
71046,32.1724103409687,-93.9332743617208
71033,32.4328384483644,-93.9649763905931
71119,32.4775999511273,-93.8689514888313
71060,32.6582953681572,-93.9668907972198
71004,32.7510230355976,-93.8429314733325
71029,32.8348682299274,-93.839851399945
71082,32.8680060686609,-93.9885851008417
71061,32.7482434718562,-93.9839148637402
71069,32.9720720628383,-93.9895915263281
71044,32.9773020680118,-93.9051681954795
71043,32.8949332833925,-93.8889868095648
71009,32.5788308910649,-93.8918393377872
70601,30.2211572222498,-93.2039242453741
70629,30.2310709912559,-93.2186396262889
70615,30.2416137635139,-93.1390028291278
70605,30.1653787058816,-93.2499356632004
70607,30.1501940392405,-93.19360336484
70609,30.1790708761691,-93.2148199990813
70647,30.2354797177357,-93.0267227420089
70630,30.0689381618617,-93.058594204323
70646,30.1119022496436,-92.9273334236528
70549,30.083665843497,-92.6938990732691
70611,30.3265323480849,-93.2154258050651
70663,30.2455716387043,-93.3614848731265
70669,30.2633784868317,-93.2569600951717
70668,30.1985265218093,-93.5907207404135
70665,30.1797032195147,-93.3891456215332
71418,32.1303346678363,-92.0628895930565
71435,32.0349405950987,-92.1319732985566
71441,31.9631913549156,-92.1666739516846
71465,31.8740794859615,-92.1892183301508
